reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
tender_229482,Brake System ServoceParts for Stock - 12535892,Dubai Corporation for Ambulance Services,"1: [120-86301] REAR BRAKE PAD Part # 84805877  - 10 EA
2: [120-47141] REAR BRAKE LINNING  part # 25904969 - 10 EA
3: [120-86294] FRONT BRAKE PAD Part # 84847749 - 10 EA
4: [120-81592] PAD KIT-FRT DISC BRK RV 1 PART # 84822406 - 5 EA
5: [120-86240] SHOE KIT PART # 84523897 - 5 EA
6: [120-58703] PAD KIT-FRT DISC PART # GM23135915 - 5 EA
7: [120-47310] BRAKE PAD PART # 22960232  - 10 EA
8: [120-47130] BRAKE PAD  part # 25949454 - 5 EA
9: [120-80764] PAD KIT-FRT DISC BRK VAN- PART # 84776469 - 20 EA
10: [120-47139] BRAKE PADS  part # 19133306 - 15 EA
11: [120-47140] REAR BRAKE PAD  part # 88983902 - 5 EA
12: [120-52222] CYLINDER ASM BRK PART # 15935845 - 10 EA
13: [120-51016] BRAKE DISC PART # 22968231 - 10 EA",2025-12-15,,Other,AED,Dubai,,95,"This tender requires a significant quantity of brake pads and related components (liners, kits, and spares) for various vehicles. The supplier needs to provide a substantial stock of parts with varying numbers of each component, suggesting a high volume order likely requiring careful coordination and potentially expedited delivery.","ai, software, data",HIGH
tender_225096,PR-05614,Dubai South,1: Please enter the Total Price for the Annual Maintenance Agreement for Infrastructure Utilities Networks and Main Pumping Stations at Dubai South - 1 Lumpsum,2025-09-25,,Other,AED,Dubai,,85,"This tender requires a precise and detailed calculation of the annual maintenance agreement cost for infrastructure utilities networks and main pumping stations at Dubai South. The evaluation will focus on ensuring accuracy and completeness, utilizing data analysis to determine the total expenditure required based on established pricing models and operational requirements.","ai, software, data",HIGH
tender_88115,General,"DUBAI AIR NAVIGATION SERVICES, Dubai International Airport","phone: Panasonic KX-TS208W 2-Line Integrated Phone System, White - 15 Nos",2017-11-01,,Other,AED,Dubai,,85,"This tender proposes a solution utilizing Panasonic KX-TS208W integrated phone system, leveraging AI capabilities for enhanced functionality and data collection. The focus is on streamlining communication through software integration and potentially offering insights into user behavior via collected data.","ai, software, data",HIGH
tender_229192,5 YRS CONTRACT/PATIENT IDENTITY BAND/CSC/IPR# 125039579/T# 22503360-AHA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-00199] PATIENT IDENTITY BAND | ADULT |( PINK COLOR) - 1 EA
2: [510-00200] PATIENT IDENTITY BAND|CHILD| ( PINK COLOR) - 1 EA
3: [510-15815] PATIENT IDENTITY BAND | ADULT | (BLUE COLOR) - 1 EA
4: [510-15816] PATIENT IDENTITY BAND|CHILD| (BLUE COLOR) - 1 EA",2025-12-04,,Other,AED,Dubai,,85,"This tender appears to be for a patient identity band (PATIENT IDENTITY BAND) service, likely related to data management and identification. The key requirement is precise unit pricing without VAT, with clear specification of VAT categories for each item.  The inclusion of software and data elements suggests a potentially complex or technologically-driven solution.","ai, software, data",HIGH
tender_229123,IPR# 125038928 / SOQ# 22503352 / Pharmaceutical item / RH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24605] ROPINIROLE ER 12MG TABLET (SPR).- - 180 EA",2025-12-03,,Other,AED,Dubai,,75,"This tender request requires a detailed breakdown of the price for ROPINIROLE ER 12MG TABLET (SPR), with VAT included, and clear categorization of each item. The requirement to input unit prices without VAT is crucial for accurate cost analysis.","ai, software, data",HIGH
tender_229126,IPR# 125036502 / SOQ# 22503355 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-23454] IRON HEME POLYPEPTIDE 6 MG CHEWABLE TABLET - 60,000 EA",2025-12-03,,Other,AED,Dubai,,75,"This tender request is for a pharmaceutical item – IRON HEME POLYPEPTIDE 6 MG CHEWABLE TABLET – requiring precise unit pricing with VAT inclusion. The requirement emphasizes clear and detailed data input regarding the item’s value, highlighting the need for accurate VAT application during the procurement process.","ai, software, data",HIGH
tender_229407,IPR# 125044304 / SOQ# 22503419 / Pharmaceutical item / LH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24873] ZINC OXIDE 40% CREAM/OINTMENT (SPR) - 4 EA",2025-12-11,,Other,AED,Dubai,,75,"This tender request appears to be a straightforward purchase order for zinc oxide cream with a specific unit price, requiring careful attention to VAT inclusion. The focus on software and data integration is less prominent, suggesting a more practical, operational need rather than a complex technological solution.","ai, software, data",HIGH
tender_226762,IPR# 125024554 / SOQ# 22503145 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24858] TEPOTINIB 225 MG TAB  (TEPMETKO) - SPR.- - 360 EA",2025-11-03,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – TEPOTIBINIB 225 MG TAB – with a unit price or item value, excluding VAT. The system requires clear VAT categorization for each item and confirmation that the VAT is applied only at the PO stage.","ai, software, data",HIGH
tender_225841,IPR# 125002051 - SOQ# 22502948 - DENTAL ITEM /NHA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [560-02248] Biomend Collagen membrane 15x20mm - 65 PC
2: [560-06038] V3 Tab Wave- Wedge Small-Medium  CAT#\ Ref ? U2064-S - 36 PK
3: [560-02924] K-FLEXOF READYSTEEL 31mm  SIZE 010 - 32 EA
4: [560-04111] ENDOSEQUENCE BIOCERAMIC BC RRM-FAST SET PUTTY .3G SYRINGE BRASSELER ROOT REPAIR - 25 PC
5: [560-02778] TRANSPARENT STRIPROLL 8 MM WIDTH 15M LENGTH - 24 EA
6: [560-03876] Elements Obturation Gutta Percha Cartridge, Medium Body, 23 Gauge (Pack of 10)  item code is ? 972-1002 - 35 EA
7: [560-02874] PRO ULTRA ENDO TIPS ZIRCON SIZE 3 - 18 EA
8: [560-02875] PRO ULTRA ENDO TIPS ZIRCON SIZE 2 - 15 EA
9: [560-03877] internal non-vital teeth bleaching Opalescence Endo Whitening System 35% hydrogen peroxide solution. pack of 2 syringe - 5 EA
10: [560-04417] COE PAK AUTOMIX NDS CAT#  135003 - 8 BX
11: [560-05351] EUCALYPTOL OILpack - 13 EA
12: [560-03069] UNIFAST TRADING LIQUID 260 ML. - 6 EA
13: [560-07094] Dental Silicone with Diamond Polishing Burs Kit -Ca 2.35mm Diameter - 20 PK
14: [560-07095] G C Soft liner tissue conditioner powder & Liquid  pack -  DTX22000384 - 5 PK
15: [560-07096] Composite polishing kit ? TR0304 - 10 KT
16: [560-07097] Porcelain polishing kit ? TR0802 - 10 KT
17: [560-07098] GZ Instrument Diamond flexible radial disk for pre-polishing Porcelain ? ref ? DPL-7184 X 10. - 13 KT
18: [560-01187] SS PRIM MOLAR CROWN REFILL ( PACK OF 2 PCS. ) CAT.NO. DLR 4 - 50 EA
19: [560-01187] SS PRIM MOLAR CROWN REFILL ( PACK OF 2 PCS. ) CAT.NO. DLR 4 - 50 EA
20: [560-03161] Pro-Tip Turbo Air / Water Syringe Refill White [1190209] - CAT# 1007072 [Packing: 250/pack] - 75 EA
21: [560-06626] Analog for Printed Model Neoss? Multi-Unit - 20 PC
22: [560-05328...",2025-10-13,,Other,AED,Dubai,,0,"** This tender appears to be a comprehensive procurement for dental items, including various components like collagen membranes, tabs, filaments, polishing kits, and other consumables. The VAT is clearly indicated, and the item values are presented without VAT, requiring careful attention during PO stage. It’s a broad range of products catering to different needs within the dental field.","ai, software, data",LOW
tender_229446,AJCH/STORE/PR-125045547/22503429 - MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-18984] Large Pediatric Underbody Blanket, 102x136cm (40x53in) .code# SWU-2011 . Level 1 (Smiths Medical) , Mexico . Pack of 10 Each - 1,500 EA
2: [510-16016] Bivona Uncuffed Flextend Paediatric ""Straight Neck Flange Tracheostomy Tube, Size ID 3.5mm, OD 5.3mm, Proximal Length 20.0mm, Distal Length 40.0mm .code# 60PFSS35 . Bivona (Smiths Medical) , USA . Pack of 1 Each - 20 EA
3: [510-18986] Pediatric Under Body Blanket, 66x114cm (26x45in) .code# SWU-2009 . Level 1 (Smiths Medical) , Mexico . Pack of 10 Each - 1,500 EA
4: [510-16016] Bivona Uncuffed Flextend Paediatric ""Straight Neck Flange Tracheostomy Tube, Size ID 3.5mm, OD 5.3mm, Proximal Length 20.0mm, Distal Length 40.0mm .code# 60PFSS35 . Bivona (Smiths Medical) , USA . Pack of 1 Each - 20 EA
5: [510-16018] Bivona Uncuffed Flextend Paediatric ""Straight Neck Flange Tracheostomy Tube, Size ID 4.5mm, OD 6.7mm, Proximal Length 30.0mm, Distal Length 42.0mm .code# 60PFSS45 . Bivona (Smiths Medical) , USA . Pack of 1 Each - 595 EA
6: [510-19068] 450mL Sterile Prefilled Humidifier with Adaptor .code# HA-45-000 . UWHM SDN. BHD , Malaysia . Pack of 25 Each - 1,400 EA
7: [510-16137] Tracheostomy Tube Holders with VELCRO Brand Fastener, Paediatric .code# 520001 . Portex (Smiths Medical) , Mexico . Pack of 100 Each - 3,800 EA
8: [510-16333] Bivona Uncuffed Flextend Paediatric ""Straight Neck Flange Tracheostomy Tube, Size ID 3.0mm, OD 4.7mm, Proximal Length 20.0mm, Distal Length 39.0mm .code# 60PFSS30 . Bivona (Smiths Medical) , USA . Pack of 1 Each - 20 EA
9: [510-18711] Homechoice Pediatric Low Rec Volume PD 3L Empty Bag System .code# R5C8303 . Baxter MEA FZE , Singapore . Pack of 30 Each - 200 EA
10...",2025-12-11,,Other,AED,Dubai,,85,"This tender requires a comprehensive assessment of medical consumables, including pediatric underbody blankets, tracheostomy tubes, and humidifiers. The evaluation focuses on ensuring accurate VAT calculations, proper labeling of items with the correct VAT category, and adherence to specific supplier codes for each product.","ai, software, data",HIGH
tender_219852,Medical Eqpt.-AJCH (Nursing)-22501840/12571991-SAM,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: SWITCHED INTERNAL PADDLES INFANT ,2.8 CM - 4 EA
2: SWITCHED INTERNAL PADDLES,CHILD,4.5 CM - 2 EA
3: GIANNINI CASTROVIEJO NEEDLE HOLDER WITH RACHET  18cm 7"" FLAT HANDLE MICRO TC (0.2) STRAIGHT TIP FIG. A - 5 EA
4: JACONSON CASTROVIEJO NEEDLE HOLDER ROUND HANDLE 18cm 7"" STRIGHT TIP FIG E - 5 EA
5: KORNUNG GRIT TC CASTROVIEJO NEEDLE HOLDER 18 CM 7"" FLAT HANDLE GERADE STRAIGHT 2MM WITH RACHET - 5 EA
6: GLAT SMOOTH TC CASTROVIEJO NEEDLE HOLDER 18 CM 7"" FLAT HANDLE GERADE STRAIGHT 2MM WITH RACHET - 5 EA
7: BARRAQUER CASTROVIEJO NEEDLE HOLDER 18 CM 7"" FLAT HANDLE WITH RACHET 1.5MM MIT SPEERRE - 5 EA
8: VENT -ROSS CHILD  (SUCTION TIP END) - 2 EA
9: VENT -ROSS INFANT  (SUCTION TIP END) - 2 EA
10: YASARGIL TYPE STANDARD TEMPORARY VESSEL CLAMP  7.8MM 180GMS CURVE - 6 EA
11: YASARGIL TYPE STANDARD TEMPORARY VESSEL CLAMP 7.5 MM 180GMS CURVE - 6 EA
12: YASARGIL  TYPE STANDARD TEMPORARY VESSEL CLAMP 9.2MM 90GMS CURVE - 6 EA
13: YASARGIL TYPE STANDARD TEMPORARY VESSEL CLAMP 7.4MM 110GMS CURVE - 6 EA
14: YASARGIL TYPE STANDARD TEMPORARY VESSEL CLAMP 11.4MM 110GMS CURVE - 6 EA
15: YASARGIL  TYPE STANDARD TEMPORARY VESSEL CLAMP 7.8MM 180GMS CURVE - 6 EA
16: SOUTHHAMPTON PAEDIATRIC 3 MM (SUCTION CANNULA) 19.5CM 71/2? - 4 EA
17: TISSUE FORCEPS WITH DEBAKEY JAWS    1.5 MM    15 CM LENGT - 6 EA
18: TISSUE FORCEPS WITH DEBAKEY JAWS   1.5 MM     19.5 CM LENGHT - 6 EA",2025-06-26,,Other,AED,Dubai,,0,"** This tender appears to be a broad range of medical devices targeting pediatric needs, with significant variation in price and product type. There's considerable overlap between some items (like the needle holders) suggesting potential for cost savings through bulk purchasing or similar agreements.  The inclusion of VAT is clearly noted, and the need for clarification on VAT handling is important.","ai, software, data",LOW
